Time,RPM,FuelFlow,Torque,OilTemperature,OilPressure,CHT,FaultID,EGT,Vibration,RunID,Throttle,EngineLoad,Altitude,AmbientTemp
0,0.1127,0.0357,0.3565,0.3565,0.2521,0.2521,0,0.5042,0.3565,1,0.7407,0.6323,585.2641,28.2459
0.1,65.4263,0.0904,3.0152,4.766,2.3143,0.9149,0,4.494,2.7785,1,0.7407,0.6323,585.2641,28.2459
0.2,171.3566,0.1451,0.3398,3.676,1.3247,1.5777,0,2.8695,1.6358,1,0.7407,0.6323,585.2641,28.2459
0.3,284.1313,0.2733,2.9971,7.7701,4.3874,2.2405,0,10.4471,0.2422,1,0.7407,0.6323,585.2641,28.2459
0.4,395.7723,0.4015,2.3736,8.4501,5.2455,2.9033,0,14.8123,1.5235,1,0.7407,0.6323,585.2641,28.2459
0.5,506.5324,0.4059,2.2109,9.4712,6.4795,3.5661,0,21.0534,0.1215,1,0.7407,0.6323,585.2641,28.2459
0.6,615.934,0.4104,2.0602,10.3973,7.7439,4.3446,0,28.3588,-0.9597,1,0.7407,0.6323,585.2641,28.2459
0.7,724.2204,0.5389,3.4628,12.7809,10.1144,5.123,0,38.7533,-0.8666,1,0.7407,0.6323,585.2641,28.2459
0.8,830.4758,0.6675,4.2142,14.4277,12.0236,5.9014,0,48.9836,0.435,1,0.7407,0.6323,585.2641,28.2459
0.9,934.4537,0.7143,4.1717,15.2041,13.3641,6.6798,0,58.7285,0.9762,1,0.7407,0.6323,585.2641,28.2459
1,1036.3972,0.7612,4.6863,16.4694,15.086,7.4583,0,69.7934,1.2993,1,0.7407,0.6323,585.2641,28.2459
1.1,1135.8702,0.7762,4.9031,17.3763,16.5803,7.6387,0,80.8761,1.2605,1,0.7407,0.6323,585.2641,28.2459
1.2,1232.6167,0.7912,4.4771,17.5863,17.599,7.8191,0,91.4061,0.7998,1,0.7407,0.6323,585.2641,28.2459
1.3,1327.3468,0.8173,6.0584,19.7558,20.0124,7.9995,0,105.0577,1.7504,1,0.7407,0.6323,585.2641,28.2459
1.4,1418.3115,0.8433,4.4595,18.7026,20.1493,8.1799,0,114.4291,0.071,1,0.7407,0.6323,585.2641,28.2459
1.5,1506.4739,0.8342,3.0088,17.76,20.3606,8.3603,0,124.1685,-1.9352,1,0.7407,0.6323,585.2641,28.2459
1.6,1592.4016,0.8251,3.7252,18.9516,22.0716,9.012,0,137.0785,-4.3338,1,0.7407,0.6323,585.2641,28.2459
1.7,1676.2323,0.9207,7.2111,22.8833,25.7063,9.6636,0,153.9633,-0.3182,1,0.7407,0.6323,585.2641,28.2459
1.8,1755.2799,1.0163,5.084,21.1764,25.3358,10.3152,0,162.926,1.1207,1,0.7407,0.6323,585.2641,28.2459
1.9,1831.8383,1.0328,4.6578,21.148,26.1306,10.9669,0,174.2713,-1.8947,1,0.7407,0.6323,585.2641,28.2459
2,1905.5687,1.0493,4.8732,21.7415,27.3409,11.6185,0,186.4668,-2.6482,1,0.7407,0.6323,585.2641,28.2459
2.1,1976.2669,1.1012,5.0506,22.28,28.4854,12.3482,0,198.5201,-1.2241,1,0.7407,0.6323,585.2641,28.2459
2.2,2044.0198,1.1532,5.3911,22.9667,29.7059,13.0779,0,210.6875,-1.0757,1,0.7407,0.6323,585.2641,28.2459
2.3,2108.7229,1.198,5.4522,23.3613,30.6896,13.8076,0,222.3184,-1.058,1,0.7407,0.6323,585.2641,28.2459
2.4,2170.5986,1.2429,5.793,24.0245,31.8317,14.5372,0,234.1806,-1.2469,1,0.7407,0.6323,585.2641,28.2459
2.5,2230.0631,1.286,7.5549,26.0993,33.9398,15.2669,0,247.8687,2.1223,1,0.7407,0.6323,585.2641,28.2459
2.6,2285.7409,1.329,6.1891,25.0385,33.7979,15.3146,0,256.9319,2.2171,1,0.7407,0.6323,585.2641,28.2459
2.7,2339.519,1.3899,7.4414,26.5889,35.4693,15.3622,0,269.4801,1.4746,1,0.7407,0.6323,585.2641,28.2459
2.8,2390.1016,1.4508,6.9746,26.4145,35.8881,15.4099,0,279.3665,2.0643,1,0.7407,0.6323,585.2641,28.2459
2.9,2438.1353,1.4066,6.5788,26.3064,36.3208,15.4576,0,289.1106,1.4837,1,0.7407,0.6323,585.2641,28.2459
3,2483.5262,1.3624,5.6914,25.7028,36.3708,15.5052,0,297.9072,0.6691,1,0.7407,0.6323,585.2641,28.2459
3.1,2526.8475,1.4012,5.8494,26.1414,37.1257,16.0198,0,307.9215,-0.5488,1,0.7407,0.6323,585.2641,28.2459
3.2,2567.8875,1.44,6.1024,26.6726,37.9147,16.5344,0,317.8028,-1.6051,1,0.7407,0.6323,585.2641,28.2459
3.3,2606.3103,1.5782,5.1034,25.9497,37.7863,17.049,0,325.6406,-1.2711,1,0.7407,0.6323,585.2641,28.2459
3.4,2644.003,1.7163,8.5326,29.6536,40.7584,17.5636,0,339.4644,1.2385,1,0.7407,0.6323,585.2641,28.2459
3.5,2678.2119,1.5922,7.3959,28.7904,40.4722,18.0782,0,346.5515,2.5759,1,0.7407,0.6323,585.2641,28.2459
3.6,2710.3096,1.468,5.7488,27.4162,39.7968,18.1504,0,352.6361,0.7816,1,0.7407,0.6323,585.2641,28.2459
3.7,2740.9778,1.5096,5.4665,27.4063,40.0592,18.2226,0,360.3694,-1.7221,1,0.7407,0.6323,585.2641,28.2459
3.8,2770.2279,1.5511,6.308,28.52,41.0901,18.2948,0,369.4112,-1.7438,1,0.7407,0.6323,585.2641,28.2459
3.9,2797.815,1.5587,7.228,29.7123,42.1518,18.3671,0,378.2848,1.5956,1,0.7407,0.6323,585.2641,28.2459
4,2823.1871,1.5663,6.2168,28.9736,41.8242,18.4393,0,384.1502,0.315,1,0.7407,0.6323,585.2641,28.2459
4.1,2847.0377,1.5462,5.2106,28.2401,41.4775,18.6853,0,389.7486,-2.5417,1,0.7407,0.6323,585.2641,28.2459
4.2,2869.884,1.526,5.5959,28.8987,42.0934,18.9314,0,397.0445,-2.2108,1,0.7407,0.6323,585.2641,28.2459
4.3,2891.5232,1.6404,6.4901,30.0667,43.0489,19.1774,0,404.794,-0.0294,1,0.7407,0.6323,585.2641,28.2459
4.4,2911.964,1.7548,7.6894,31.5403,44.2007,19.4235,0,412.7137,2.0293,1,0.7407,0.6323,585.2641,28.2459
4.5,2930.4205,1.7521,6.4851,30.6111,43.6347,19.6695,0,416.9783,1.4662,1,0.7407,0.6323,585.2641,28.2459
4.6,2948.4109,1.7495,7.4639,31.8656,44.5951,19.6299,0,424.0799,0.6821,1,0.7407,0.6323,585.2641,28.2459
4.7,2964.5453,1.7103,6.0256,30.7036,43.83,19.5902,0,427.519,-0.1403,1,0.7407,0.6323,585.2641,28.2459
4.8,2980.2634,1.6711,6.5274,31.4825,44.4213,19.5506,0,433.4639,-1.2565,1,0.7407,0.6323,585.2641,28.2459
4.9,2994.9065,1.5976,6.6984,31.9312,44.7641,19.511,0,438.7096,-0.6351,1,0.7407,0.6323,585.2641,28.2459
5,3008.0204,1.524,4.9248,30.4359,43.718,19.4713,0,440.9796,-2.1848,1,0.7407,0.6323,585.2641,28.2459
5.1,3020.6361,1.6314,4.2972,30.0873,43.4694,19.8541,0,444.6492,-4.4114,1,0.7407,0.6323,585.2641,28.2459
5.2,3033.4865,1.7388,6.9719,33.0416,45.5436,20.2369,0,452.7726,-2.0387,1,0.7407,0.6323,585.2641,28.2459
5.3,3044.556,1.7816,6.4225,32.7724,45.3266,20.6197,0,456.1258,0.5498,1,0.7407,0.6323,585.2641,28.2459
5.4,3055.5022,1.8244,7.7459,34.3764,46.423,21.0025,0,461.9229,1.8025,1,0.7407,0.6323,585.2641,28.2459
5.5,3064.9693,1.75,6.5176,33.4293,45.7049,21.3853,0,463.9139,2.1281,1,0.7407,0.6323,585.2641,28.2459
5.6,3074.0894,1.6756,6.1879,33.3812,45.6127,21.6548,0,466.9851,0.2808,1,0.7407,0.6323,585.2641,28.2459
5.7,3082.6784,1.7313,6.0521,33.5274,45.6485,21.9244,0,470.1471,-0.9921,1,0.7407,0.6323,585.2641,28.2459
