INFO:     Started server process [22377]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:9000 (Press CTRL+C to quit)
/home/vedanth/Projects/Rambharose054/simulation/simulation_controller.py:20: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client()
INFO:     172.18.0.4:34740 - "POST /simulation/start HTTP/1.1" 200 OK
INFO:     172.18.0.4:34312 - "POST /simulation/stop HTTP/1.1" 200 OK
INFO:     172.18.0.4:57296 - "POST /simulation/start HTTP/1.1" 200 OK
/usr/lib64/python3.14/site-packages/numpy/_core/getlimits.py:552: UserWarning: Signature b'\x00\xd0\xcc\xcc\xcc\xcc\xcc\xcc\xfb\xbf\xf2\x02\x00\x00\x00\x00' for <class 'numpy.longdouble'> does not match any known type: falling back to type probe function.
This warnings indicates broken support for the dtype!
  machar = _get_machar(dtype)
Connected to MQTT telemetry.
MESA-LOADER: failed to open dri: /usr/local/MATLAB/R2026a/bin/glnxa64/../../sys/os/glnxa64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /lib64/libSPIRV-Tools.so) (search paths /usr/lib64/gbm, suffix _gbm)

========================================
LIVE SIMULATION STARTED
========================================
Fault commands: MQTT
Fault topic: engine/engine_001/fault
Allowed fault IDs: 0, 1, 2, 3, 4
========================================

t=   1s | fault=0 | RPM= 1488.4 | Torque= 6.34 | CHT=   3.6 | EGT=   74.1
t=   2s | fault=0 | RPM= 2701.6 | Torque= 7.39 | CHT=   8.5 | EGT=  245.8
t=   3s | fault=0 | RPM= 3390.5 | Torque= 9.52 | CHT=  15.7 | EGT=  422.5
t=   4s | fault=0 | RPM= 3726.5 | Torque=10.00 | CHT=  19.1 | EGT=  550.1
t=   5s | fault=0 | RPM= 3878.1 | Torque= 9.74 | CHT=  21.3 | EGT=  626.3
t=   6s | fault=0 | RPM= 3944.5 | Torque=10.00 | CHT=  23.9 | EGT=  669.0
t=   7s | fault=0 | RPM= 3972.9 | Torque=10.00 | CHT=  27.1 | EGT=  690.3
t=   8s | fault=0 | RPM= 3985.2 | Torque=10.00 | CHT=  27.9 | EGT=  701.3
t=   9s | fault=0 | RPM= 3989.8 | Torque= 8.55 | CHT=  28.7 | EGT=  703.6
t=  10s | fault=0 | RPM= 3992.5 | Torque=10.00 | CHT=  30.9 | EGT=  708.3
t=  11s | fault=0 | RPM= 3993.3 | Torque= 9.71 | CHT=  31.8 | EGT=  708.4
t=  12s | fault=0 | RPM= 3994.1 | Torque=10.00 | CHT=  34.1 | EGT=  710.8
t=  13s | fault=0 | RPM= 3993.8 | Torque= 9.52 | CHT=  34.9 | EGT=  708.8
t=  14s | fault=0 | RPM= 3994.0 | Torque=10.00 | CHT=  35.6 | EGT=  709.7
t=  15s | fault=0 | RPM= 3993.9 | Torque= 9.69 | CHT=  36.9 | EGT=  709.2
t=  16s | fault=0 | RPM= 3993.4 | Torque= 8.07 | CHT=  39.1 | EGT=  706.9
t=  17s | fault=0 | RPM= 3993.9 | Torque= 9.68 | CHT=  39.3 | EGT=  709.2
t=  18s | fault=0 | RPM= 3994.3 | Torque=10.00 | CHT=  41.3 | EGT=  710.8
t=  19s | fault=0 | RPM= 3993.6 | Torque= 8.43 | CHT=  42.1 | EGT=  707.4
t=  20s | fault=0 | RPM= 3993.7 | Torque= 8.81 | CHT=  42.2 | EGT=  707.9
t=  21s | fault=0 | RPM= 3993.9 | Torque= 9.62 | CHT=  44.2 | EGT=  709.1
t=  22s | fault=0 | RPM= 3994.1 | Torque=10.00 | CHT=  46.0 | EGT=  710.1
t=  23s | fault=0 | RPM= 3994.0 | Torque= 9.78 | CHT=  45.9 | EGT=  709.3
t=  24s | fault=0 | RPM= 3993.5 | Torque= 8.23 | CHT=  46.0 | EGT=  707.1
t=  25s | fault=0 | RPM= 3993.9 | Torque= 9.56 | CHT=  46.1 | EGT=  709.0
t=  26s | fault=0 | RPM= 3994.3 | Torque=10.00 | CHT=  48.5 | EGT=  710.7
t=  27s | fault=0 | RPM= 3993.7 | Torque= 9.05 | CHT=  47.5 | EGT=  708.3
t=  28s | fault=0 | RPM= 3994.0 | Torque= 9.77 | CHT=  50.2 | EGT=  709.3
t=  29s | fault=0 | RPM= 3993.8 | Torque= 9.29 | CHT=  49.8 | EGT=  708.6
t=  30s | fault=0 | RPM= 3994.0 | Torque= 9.75 | CHT=  51.3 | EGT=  709.2

>>> FAULT CHANGED TO 2 at t=30s <<<

t=  31s | fault=2 | RPM= 3993.9 | Torque= 9.48 | CHT=  53.2 | EGT=  758.7
t=  32s | fault=2 | RPM= 3993.4 | Torque= 7.82 | CHT=  54.3 | EGT=  817.5
t=  33s | fault=2 | RPM= 3993.6 | Torque= 8.54 | CHT=  56.2 | EGT=  850.7
t=  34s | fault=2 | RPM= 3993.7 | Torque= 8.88 | CHT=  57.5 | EGT=  865.5
t=  35s | fault=2 | RPM= 3993.9 | Torque= 9.43 | CHT=  59.4 | EGT=  872.9
t=  36s | fault=2 | RPM= 3994.1 | Torque=10.00 | CHT=  62.2 | EGT=  877.4
t=  37s | fault=2 | RPM= 3993.6 | Torque= 8.64 | CHT=  64.2 | EGT=  878.0
t=  38s | fault=2 | RPM= 3993.7 | Torque= 9.04 | CHT=  68.1 | EGT=  880.7
t=  39s | fault=2 | RPM= 3994.1 | Torque=10.00 | CHT=  70.6 | EGT=  884.3
t=  40s | fault=2 | RPM= 3994.1 | Torque=10.00 | CHT=  72.6 | EGT=  886.5
t=  41s | fault=2 | RPM= 3994.0 | Torque= 9.99 | CHT=  74.9 | EGT=  888.2
t=  42s | fault=2 | RPM= 3994.4 | Torque=10.00 | CHT=  77.3 | EGT=  891.6
t=  43s | fault=2 | RPM= 3994.4 | Torque=10.00 | CHT=  80.1 | EGT=  893.7
t=  44s | fault=2 | RPM= 3994.4 | Torque=10.00 | CHT=  83.2 | EGT=  895.9
t=  45s | fault=2 | RPM= 3994.0 | Torque= 9.93 | CHT=  84.4 | EGT=  896.1
t=  46s | fault=2 | RPM= 3993.6 | Torque= 8.71 | CHT=  88.3 | EGT=  896.4
t=  47s | fault=2 | RPM= 3993.7 | Torque= 9.05 | CHT=  91.4 | EGT=  898.8
t=  48s | fault=2 | RPM= 3993.5 | Torque= 8.17 | CHT=  92.1 | EGT=  899.6
t=  49s | fault=2 | RPM= 3993.9 | Torque= 9.45 | CHT=  95.9 | EGT=  903.4
t=  50s | fault=2 | RPM= 3993.9 | Torque= 9.44 | CHT=  96.9 | EGT=  905.4
t=  51s | fault=2 | RPM= 3994.2 | Torque=10.00 | CHT= 101.0 | EGT=  908.9
t=  52s | fault=2 | RPM= 3994.3 | Torque=10.00 | CHT= 100.9 | EGT=  911.3
t=  53s | fault=2 | RPM= 3994.3 | Torque=10.00 | CHT= 104.8 | EGT=  913.3
t=  54s | fault=2 | RPM= 3994.1 | Torque=10.00 | CHT= 106.6 | EGT=  914.5
t=  55s | fault=2 | RPM= 3993.3 | Torque= 7.76 | CHT= 109.5 | EGT=  913.0
t=  56s | fault=2 | RPM= 3994.0 | Torque= 9.74 | CHT= 110.8 | EGT=  917.8
t=  57s | fault=2 | RPM= 3993.5 | Torque= 8.32 | CHT= 111.4 | EGT=  917.8
t=  58s | fault=2 | RPM= 3993.9 | Torque= 9.42 | CHT= 114.5 | EGT=  921.3
t=  59s | fault=2 | RPM= 3993.5 | Torque= 8.43 | CHT= 118.1 | EGT=  921.9
t=  60s | fault=2 | RPM= 3993.4 | Torque= 7.87 | CHT= 118.8 | EGT=  923.2
t=  61s | fault=2 | RPM= 3993.8 | Torque= 9.40 | CHT= 122.6 | EGT=  927.3
t=  62s | fault=2 | RPM= 3993.9 | Torque= 9.43 | CHT= 124.0 | EGT=  929.3
t=  63s | fault=2 | RPM= 3993.9 | Torque= 9.62 | CHT= 125.1 | EGT=  931.6
t=  64s | fault=2 | RPM= 3993.7 | Torque= 8.91 | CHT= 125.6 | EGT=  932.6
t=  65s | fault=2 | RPM= 3994.0 | Torque= 9.96 | CHT= 127.9 | EGT=  936.1
t=  66s | fault=2 | RPM= 3994.1 | Torque=10.00 | CHT= 131.2 | EGT=  938.5
t=  67s | fault=2 | RPM= 3993.6 | Torque= 8.66 | CHT= 133.0 | EGT=  938.3
t=  68s | fault=2 | RPM= 3994.3 | Torque=10.00 | CHT= 134.9 | EGT=  943.4
t=  69s | fault=2 | RPM= 3994.2 | Torque=10.00 | CHT= 136.3 | EGT=  944.9
t=  70s | fault=2 | RPM= 3993.6 | Torque= 8.62 | CHT= 138.5 | EGT=  944.2
t=  71s | fault=2 | RPM= 3993.9 | Torque= 9.47 | CHT= 141.1 | EGT=  947.4
t=  72s | fault=2 | RPM= 3994.2 | Torque=10.00 | CHT= 142.0 | EGT=  950.9
t=  73s | fault=2 | RPM= 3994.1 | Torque=10.00 | CHT= 144.0 | EGT=  952.5
t=  74s | fault=2 | RPM= 3994.0 | Torque= 9.93 | CHT= 145.0 | EGT=  954.0
t=  75s | fault=2 | RPM= 3993.8 | Torque= 9.42 | CHT= 147.8 | EGT=  955.3
t=  76s | fault=2 | RPM= 3994.5 | Torque=10.00 | CHT= 147.4 | EGT=  960.2
t=  77s | fault=2 | RPM= 3995.1 | Torque=10.00 | CHT= 150.6 | EGT=  965.1
t=  78s | fault=2 | RPM= 3994.3 | Torque=10.00 | CHT= 152.2 | EGT=  963.6
t=  79s | fault=2 | RPM= 3995.2 | Torque=10.00 | CHT= 152.1 | EGT=  969.3
t=  80s | fault=2 | RPM= 3994.4 | Torque=10.00 | CHT= 155.8 | EGT=  967.9
t=  81s | fault=2 | RPM= 3993.9 | Torque= 9.50 | CHT= 157.1 | EGT=  967.4
t=  82s | fault=2 | RPM= 3993.6 | Torque= 8.74 | CHT= 158.3 | EGT=  968.3
t=  83s | fault=2 | RPM= 3994.3 | Torque=10.00 | CHT= 161.1 | EGT=  973.5
t=  84s | fault=2 | RPM= 3994.0 | Torque=10.00 | CHT= 161.7 | EGT=  974.1
t=  85s | fault=2 | RPM= 3994.1 | Torque=10.00 | CHT= 163.6 | EGT=  976.3
t=  86s | fault=2 | RPM= 3994.0 | Torque= 9.89 | CHT= 165.4 | EGT=  978.0
t=  87s | fault=2 | RPM= 3994.5 | Torque=10.00 | CHT= 168.2 | EGT=  982.2
t=  88s | fault=2 | RPM= 3993.7 | Torque= 8.96 | CHT= 167.1 | EGT=  980.6
t=  89s | fault=2 | RPM= 3994.0 | Torque= 9.90 | CHT= 169.6 | EGT=  984.0
t=  90s | fault=2 | RPM= 3993.5 | Torque= 8.40 | CHT= 171.9 | EGT=  983.9
t=  91s | fault=2 | RPM= 3994.4 | Torque=10.00 | CHT= 172.0 | EGT=  989.8
t=  92s | fault=2 | RPM= 3994.2 | Torque=10.00 | CHT= 174.1 | EGT=  991.0
t=  93s | fault=2 | RPM= 3993.7 | Torque= 9.12 | CHT= 174.8 | EGT=  990.9
t=  94s | fault=2 | RPM= 3993.8 | Torque= 9.24 | CHT= 177.9 | EGT=  993.0
t=  95s | fault=2 | RPM= 3993.8 | Torque= 9.22 | CHT= 178.9 | EGT=  995.0
t=  96s | fault=2 | RPM= 3994.3 | Torque=10.00 | CHT= 179.3 | EGT=  999.5
t=  97s | fault=2 | RPM= 3994.4 | Torque=10.00 | CHT= 181.0 | EGT= 1001.9
t=  98s | fault=2 | RPM= 3993.7 | Torque= 8.93 | CHT= 183.9 | EGT= 1000.6
t=  99s | fault=2 | RPM= 3993.2 | Torque= 7.34 | CHT= 183.9 | EGT= 1000.3
t= 100s | fault=2 | RPM= 3993.5 | Torque= 8.27 | CHT= 186.0 | EGT= 1003.7
t= 101s | fault=2 | RPM= 3993.9 | Torque= 9.47 | CHT= 187.7 | EGT= 1007.1
t= 102s | fault=2 | RPM= 3993.8 | Torque= 9.23 | CHT= 188.7 | EGT= 1007.8
t= 103s | fault=2 | RPM= 3993.8 | Torque= 9.34 | CHT= 189.7 | EGT= 1008.3
t= 104s | fault=2 | RPM= 3994.1 | Torque=10.00 | CHT= 191.4 | EGT= 1009.6
t= 105s | fault=2 | RPM= 3993.9 | Torque= 9.74 | CHT= 193.7 | EGT= 1009.1
t= 106s | fault=2 | RPM= 3993.6 | Torque= 8.53 | CHT= 194.1 | EGT= 1007.4
t= 107s | fault=2 | RPM= 3993.9 | Torque= 9.65 | CHT= 194.2 | EGT= 1009.0
t= 108s | fault=2 | RPM= 3994.2 | Torque=10.00 | CHT= 196.0 | EGT= 1010.2
t= 109s | fault=2 | RPM= 3993.9 | Torque= 9.73 | CHT= 197.8 | EGT= 1009.1
t= 110s | fault=2 | RPM= 3993.6 | Torque= 8.72 | CHT= 198.8 | EGT= 1007.7
t= 111s | fault=2 | RPM= 3994.3 | Torque=10.00 | CHT= 201.1 | EGT= 1010.5
t= 112s | fault=2 | RPM= 3994.3 | Torque=10.00 | CHT= 201.2 | EGT= 1010.7
t= 113s | fault=2 | RPM= 3993.4 | Torque= 8.17 | CHT= 203.2 | EGT= 1006.9
t= 114s | fault=2 | RPM= 3994.4 | Torque=10.00 | CHT= 203.4 | EGT= 1011.3
t= 115s | fault=2 | RPM= 3994.4 | Torque=10.00 | CHT= 204.8 | EGT= 1011.2
t= 116s | fault=2 | RPM= 3993.7 | Torque= 8.96 | CHT= 205.0 | EGT= 1008.0
t= 117s | fault=2 | RPM= 3993.7 | Torque= 9.11 | CHT= 207.1 | EGT= 1008.2

>>> FAULT CHANGED TO 0 at t=117s <<<

t= 118s | fault=0 | RPM= 3993.8 | Torque= 9.32 | CHT= 207.2 | EGT=  915.5
t= 119s | fault=0 | RPM= 3994.0 | Torque= 9.98 | CHT= 207.5 | EGT=  803.6
t= 120s | fault=0 | RPM= 3993.6 | Torque= 8.58 | CHT= 205.1 | EGT=  744.4
t= 121s | fault=0 | RPM= 3993.7 | Torque= 9.03 | CHT= 204.1 | EGT=  721.6
t= 122s | fault=0 | RPM= 3993.9 | Torque= 9.65 | CHT= 201.0 | EGT=  713.7
t= 123s | fault=0 | RPM= 3994.2 | Torque=10.00 | CHT= 198.4 | EGT=  711.7
t= 124s | fault=0 | RPM= 3994.2 | Torque=10.00 | CHT= 197.3 | EGT=  711.0
t= 125s | fault=0 | RPM= 3993.8 | Torque= 9.32 | CHT= 193.5 | EGT=  708.7
t= 126s | fault=0 | RPM= 3993.8 | Torque= 9.20 | CHT= 191.9 | EGT=  708.4
t= 127s | fault=0 | RPM= 3994.2 | Torque=10.00 | CHT= 188.5 | EGT=  710.2
t= 128s | fault=0 | RPM= 3993.8 | Torque= 9.24 | CHT= 186.7 | EGT=  708.4
t= 129s | fault=0 | RPM= 3993.7 | Torque= 8.96 | CHT= 183.4 | EGT=  708.0
t= 130s | fault=0 | RPM= 3993.8 | Torque= 9.37 | CHT= 181.2 | EGT=  708.6
t= 131s | fault=0 | RPM= 3994.1 | Torque=10.00 | CHT= 178.9 | EGT=  710.0
t= 132s | fault=0 | RPM= 3993.7 | Torque= 9.09 | CHT= 176.5 | EGT=  708.2
t= 133s | fault=0 | RPM= 3993.6 | Torque= 8.66 | CHT= 172.8 | EGT=  707.6
t= 134s | fault=0 | RPM= 3994.2 | Torque=10.00 | CHT= 170.0 | EGT=  710.4
